company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added,year,month,layoff_size,funding_category
Shef,SF Bay Area,29.0,2022-06-02,,Food,Internal memo,Series A,28.0,United States,6/3/2022,2022,6,Small,Low
IRL,SF Bay Area,25.0,2022-06-02,0.25,Consumer,https://techcrunch.com/2022/06/02/irl-layoffs-abraham-shafi-social-media/,Series C,197.0,United States,6/2/2022,2022,6,Small,Medium
TomTom,"Amsterdam, Non-U.S.",500.0,2022-06-01,0.1,Transportation,https://www.businessinsider.com/tomtom-gps-navigation-tech-layoffs-employees-maps-unit-2022-6,Post-IPO,0.0,Netherlands,1/24/2023,2022,6,Medium,
Cybereason,Boston,100.0,2022-06-01,0.06,Security,https://www.calcalistech.com/ctechnews/article/s1zg60v005,Series F,750.0,United States,6/1/2022,2022,6,Small,High
Udayy,"Gurugram, Non-U.S.",100.0,2022-06-01,1.0,Education,https://www.moneycontrol.com/news/business/startup/info-edge-backed-edtech-startup-udayy-shuts-down-lays-off-all-employees-8621551.html,Seed,2.0,India,6/1/2022,2022,6,Small,Low
2TM,"Sao Paulo, Non-U.S.",90.0,2022-06-01,0.12,Crypto,"https://www.terra.com.br/noticias/tecnologia/2tm-dono-do-mercado-bitcoin-demite-90-funcionarios,9ce67613ba7b79292f03bc2027ceb77e9uw5hy0w.html",Unknown,250.0,Brazil,6/2/2022,2022,6,Small,High
Curve,"London, Non-U.S.",65.0,2022-06-01,0.1,Finance,https://www.altfi.com/article/9332_exclusive-curve-joins-klarna-in-mass-jobs-cut,Series C,182.0,United Kingdom,6/2/2022,2022,6,Small,Medium
Loom,SF Bay Area,34.0,2022-06-01,0.14,Product,https://techcrunch.com/2022/06/01/a16z-backed-loom-video-layoffs/,Series C,203.0,United States,6/1/2022,2022,6,Small,High
Skillshare,New York City,31.0,2022-06-01,,Education,Internal memo,Unknown,136.0,United States,6/9/2022,2022,6,Small,Medium
Impala,"London, Non-U.S.",30.0,2022-06-01,0.35,Travel,https://newsletter.pragmaticengineer.com/p/the-scoop-13,Series B,32.0,United Kingdom,6/10/2022,2022,6,Small,Low
Eaze,SF Bay Area,25.0,2022-06-01,,Consumer,https://www.businessinsider.com/cannabis-tech-startup-eaze-laid-off-employees-2022-6,Series D,202.0,United States,6/2/2022,2022,6,Small,High
Playtika,"Tel Aviv, Non-U.S.",250.0,2022-05-31,0.06,Consumer,https://en.globes.co.il/en/article-israeli-mobile-games-co-playtika-to-lay-off-250-1001413811,Post-IPO,0.0,Israel,5/31/2022,2022,5,Medium,
Replicated,Los Angeles,50.0,2022-05-31,,Infrastructure,https://www.replicated.com/blog/a-message-from-replicateds-ceo/,Series C,85.0,United States,6/1/2022,2022,5,Small,Medium
Tomo,Stamford,44.0,2022-05-31,0.33,Finance,https://www.businessinsider.com/purchase-mortgage-company-tomo-lays-off-staff-housing-market-slows-2022-5,Series A,110.0,United States,6/1/2022,2022,5,Small,Medium
Getta,"Tel Aviv, Non-U.S.",30.0,2022-05-31,,Transportation,https://www.themarker.com/technation/2022-05-31/ty-article/.premium/00000181-18d2-d57f-afc1-b8d762210000,Series A,49.0,Israel,6/1/2022,2022,5,Small,Low
BookClub,Salt Lake City,12.0,2022-05-31,0.25,Education,Internal memo,Series A,26.0,United States,6/6/2022,2022,5,Small,Low
SWVL,"Dubai, Non-U.S.",400.0,2022-05-30,0.32,Transportation,https://techcrunch.com/2022/05/30/swvl-plans-to-lay-off-32-of-its-team-two-months-after-going-public/,Post-IPO,132.0,United Arab Emirates,5/31/2022,2022,5,Medium,Medium
Mobile Premier League,"Bengaluru, Non-U.S.",100.0,2022-05-30,0.1,Consumer,https://www.moneycontrol.com/news/business/startup/exclusive-mobile-premier-league-to-lay-off-100-employees-exit-indonesia-market-8603881.html,Series E,375.0,India,5/31/2022,2022,5,Small,High
SumUp,"Sao Paulo, Non-U.S.",100.0,2022-05-30,0.03,Finance,https://financefwd.com/de/sumup-entlassungen-brasilien/,Unknown,50.0,Brazil,5/31/2022,2022,5,Small,Low
FrontRow,"Bengaluru, Non-U.S.",145.0,2022-05-27,0.3,Education,https://inc42.com/buzz/exclusive-lightspeed-backed-frontrow-lays-off-145-employees-cut-cost/,Series A,17.0,India,5/31/2022,2022,5,Medium,Low
Daloopa,"New Delhi, Non-U.S.",40.0,2022-05-27,,Data,https://www.moneycontrol.com/news/business/daloopa-lays-off-40-employees-noida-8620121.html,Series A,23.0,India,6/2/2022,2022,5,Small,Low
Uncapped,"London, Non-U.S.",29.0,2022-05-27,0.26,Finance,https://sifted.eu/articles/startup-tech-company-layoffs/,Unknown,118.0,United Kingdom,5/28/2022,2022,5,Small,Medium
VTEX,"Sao Paulo, Non-U.S.",200.0,2022-05-26,0.13,Retail,https://www.bloomberglinea.com.br/2022/05/26/inverno-chegou-unicornios-vtex-e-bitso-fazem-demissao-em-massa/,Post-IPO,365.0,Brazil,5/27/2022,2022,5,Medium,High
Bitso,"Mexico City, Non-U.S.",80.0,2022-05-26,0.11,Crypto,https://www.coindesk.com/business/2022/05/26/top-latin-american-crypto-exchange-bitso-lays-off-80-employees/,Series C,378.0,Mexico,5/27/2022,2022,5,Small,High
Foodpanda,"Bucharest, Non-U.S.",80.0,2022-05-26,,Food,https://sifted.eu/articles/glovo-foodpanda-layoffs/,Acquired,749.0,Romania,5/28/2022,2022,5,Small,High
Dazn,"London, Non-U.S.",50.0,2022-05-26,0.02,Consumer,https://deadline.com/2022/05/dazn-50-roles-redundant-london-1235033389/,Unknown,0.0,United Kingdom,6/11/2022,2022,5,Small,
Lacework,SF Bay Area,300.0,2022-05-25,0.2,Security,https://twitter.com/GergelyOrosz/status/1529575067117658112,Series D,1900.0,United States,5/25/2022,2022,5,Medium,Very High
Bolt,SF Bay Area,240.0,2022-05-25,0.27,Finance,https://www.forbes.com/sites/kenrickcai/2022/05/25/checkout-startup-bolt-lays-off-more-than-200-people-or-at-least-25-of-its-staff/?sh=1789cd092201,Series E,1300.0,United States,5/25/2022,2022,5,Medium,Very High
PeerStreet,Los Angeles,75.0,2022-05-25,,Finance,Internal memo,Series C,121.0,United States,5/28/2022,2022,5,Small,Medium
Kontist,"Berlin, Non-U.S.",50.0,2022-05-25,0.25,Finance,https://financefwd.com/de/kontist-entlassungen/,Series B,53.0,Germany,5/25/2022,2022,5,Small,Medium
Nuri,"Berlin, Non-U.S.",45.0,2022-05-25,0.2,Finance,https://www.handelsblatt.com/finanzen/banken-versicherungen/banken/fintech-berliner-neobank-nuri-streicht-jede-fuenfte-stelle/28373716.html,Series B,42.0,Germany,5/25/2022,2022,5,Small,Low
Coterie Insurance,Cincinnati,30.0,2022-05-25,0.2,Finance,https://www.bizjournals.com/cincinnati/inno/stories/news/2022/05/27/cincinnati-tech-startup-coterie-cuts-downs.html,Series B,70.0,United States,5/27/2022,2022,5,Small,Medium
Gorillas,"Berlin, Non-U.S.",300.0,2022-05-24,0.5,Food,https://www.theverge.com/2022/5/24/23139272/gorillas-on-demand-grocery-delivery-app-lays-off-employees-hq,Series C,1300.0,Germany,5/24/2022,2022,5,Medium,Very High
Zenius,"Jakarta, Non-U.S.",200.0,2022-05-24,,Education,https://www.cnnindonesia.com/ekonomi/20220524142448-92-800561/zenius-phk-lebih-dari-200-karyawan,Series B,20.0,Indonesia,5/25/2022,2022,5,Medium,Low
The Zebra,Austin,40.0,2022-05-24,,Finance,https://coverager.com/layoffs-at-the-zebra/,Series D,256.0,United States,5/25/2022,2022,5,Small,High
Klarna,"Stockholm, Non-U.S.",700.0,2022-05-23,0.1,Finance,https://www.di.se/digital/sparpaket-pa-klarna-sparkar-10-procent-av-alla-anstallda/,Unknown,3700.0,Sweden,5/23/2022,2022,5,Medium,Very High
PayPal,SF Bay Area,83.0,2022-05-23,,Finance,https://www.bizjournals.com/sanjose/news/2022/05/23/paypal-lays-off-83-workers-from-san-jose-hq.html,Post-IPO,216.0,United States,5/26/2022,2022,5,Small,High
Buenbit,"Buenos Aires, Non-U.S.",80.0,2022-05-23,0.45,Crypto,https://www.coindesk.com/business/2022/05/24/argentinian-crypto-exchange-buenbit-cuts-45-of-staff-due-to-tech-industry-downturn/,Series A,11.0,Argentina,5/25/2022,2022,5,Small,Low
BeyondMinds,"Tel Aviv, Non-U.S.",65.0,2022-05-23,1.0,Data,https://en.globes.co.il/en/article-beyondminds-shuts-down-lays-off-65-1001412743,Series A,16.0,Israel,5/23/2022,2022,5,Small,Low
ClickUp,San Diego,60.0,2022-05-23,0.07,Other,https://www.protocol.com/bulletins/clickup-layoff-productivity-app,Series C,537.0,United States,5/25/2022,2022,5,Small,High
Airtime,New York City,30.0,2022-05-23,0.2,Consumer,Internal memo,Series B,33.0,United States,8/17/2022,2022,5,Small,Low
MFine,"Bengaluru, Non-U.S.",600.0,2022-05-21,0.75,Healthcare,https://inc42.com/buzz/exclusive-healthtech-startup-mfine-fires-600-employees/,Series C,97.0,India,5/22/2022,2022,5,Medium,Medium
Latch,New York City,130.0,2022-05-20,0.28,Security,https://www.globenewswire.com/news-release/2022/05/20/2447915/0/en/Latch-resets-cost-structure.html,Post-IPO,342.0,United States,5/21/2022,2022,5,Medium,High
Outside,Boulder,87.0,2022-05-20,0.15,Media,https://www.adweek.com/media/outside-inc-lays-off-15-of-staff-as-it-transitions-to-digital/,Series B,174.0,United States,5/22/2022,2022,5,Small,Medium
Skillz,SF Bay Area,70.0,2022-05-20,0.1,Consumer,https://techcrunch.com/2022/05/20/startup-tech-layoff-may-week-3/,Post-IPO,287.0,United States,5/21/2022,2022,5,Small,High
Cars24,"Gurugram, Non-U.S.",600.0,2022-05-19,0.06,Transportation,https://entrackr.com/2022/05/softbank-backed-cars24-lays-off-600-employees/,Series G,1300.0,India,5/19/2022,2022,5,Medium,Very High
Vedantu,"Bengaluru, Non-U.S.",424.0,2022-05-18,0.07,Education,https://economictimes.indiatimes.com/tech/startups/vedantu-says-it-is-laying-off-another-424-employees/articleshow/91636698.cms,Series E,292.0,India,5/18/2022,2022,5,Medium,High
Netflix,SF Bay Area,150.0,2022-05-17,0.01,Media,https://www.cnbc.com/2022/05/17/netflix-lays-off-150-employees-as-the-streaming-service-contends-with-big-subscriber-losses.html,Post-IPO,121900.0,United States,5/17/2022,2022,5,Medium,Very High
Kry,"Stockholm, Non-U.S.",100.0,2022-05-17,0.1,Healthcare,https://www.di.se/digital/sparpaket-pa-kry-varslar-100-personer/,Series D,568.0,Sweden,5/17/2022,2022,5,Small,High
Picsart,Miami,90.0,2022-05-17,0.08,Consumer,https://www.theinformation.com/articles/picsart-a-photo-editing-startup-for-creators-cuts-8-of-workforce,Series C,195.0,United States,5/17/2022,2022,5,Small,Medium
Zak,"Sao Paulo, Non-U.S.",100.0,2022-05-16,0.4,Food,https://www.baguete.com.br/noticias/16/05/2022/zak-demite-40-da-equipe,Series A,29.0,Brazil,5/17/2022,2022,5,Small,Low
AliExpress Russia,"Moscow, Non-U.S.",400.0,2022-05-14,0.4,Retail,https://asia.nikkei.com/Politics/Ukraine-war/Alibaba-s-Russian-venture-slashes-40-of-staff-amid-Ukraine-war,Acquired,60.0,Russia,5/14/2022,2022,5,Medium,Medium
Thirty Madison,New York City,24.0,2022-05-14,,Healthcare,https://usanewsweb.com/hybrid-clinic-thirty-madison-lays-off-24-folks-after-nurx-merger/,Acquired,209.0,United States,5/16/2022,2022,5,Small,High
CommonBond,New York City,22.0,2022-05-13,,Finance,https://www.linkedin.com/feed/update/urn:li:activity:6930967047673708544/,Series D,130.0,United States,5/25/2022,2022,5,Small,Medium
Zwift,Los Angeles,150.0,2022-05-12,,Fitness,https://www.dcrainmaker.com/2022/05/zwift-cancels-smart-bike-hardware-plans-announces-significant-layoffs.html,Series C,619.0,United States,5/12/2022,2022,5,Medium,High
Section4,New York City,32.0,2022-05-12,,Education,https://techcrunch.com/2022/05/12/professor-scott-galloways-edtech-startup-section-4-lay-offs/,Series A,37.0,United States,5/12/2022,2022,5,Small,Low
DataRobot,Boston,70.0,2022-05-11,0.07,Data,https://www.theinformation.com/briefings/ai-startup-datarobot-lays-off-7-in-cost-cutting-move,Series G,1000.0,United States,5/11/2022,2022,5,Small,High
Carvana,Phoenix,2500.0,2022-05-10,0.12,Transportation,https://techcrunch.com/2022/05/10/carvana-to-cut-2500-staff-as-it-struggles-with-overcapacity/,Post-IPO,1600.0,United States,5/10/2022,2022,5,Large,Very High
Doma,SF Bay Area,310.0,2022-05-10,0.15,Finance,https://www.housingwire.com/articles/doma-lays-off-15-of-work-force-as-q1-revenue-declines/,Post-IPO,679.0,United States,5/12/2022,2022,5,Medium,High
Pollen,"London, Non-U.S.",200.0,2022-05-10,0.33,Travel,https://newsletter.pragmaticengineer.com/p/the-scoop-11?s=w,Series C,238.0,United Kingdom,5/20/2022,2022,5,Medium,High
Latch,New York City,30.0,2022-05-10,0.06,Security,https://techcrunch.com/2022/05/13/startup-tech-layoff-and-hiring-freeze-in-may/,Post-IPO,342.0,United States,5/12/2022,2022,5,Small,High
Meero,"Paris, Non-U.S.",350.0,2022-05-09,0.5,Other,https://www.challenges.fr/entreprise/la-licorne-meero-le-uber-de-la-photo-a-licencie-pres-de-50-de-ses-effectifs_812527,Series C,293.0,France,3/4/2023,2022,5,Medium,High
Vroom,New York City,270.0,2022-05-09,0.14,Transportation,https://www.marketwatch.com/amp/story/vroom-names-shortt-as-ceo-amid-business-realignment-shares-up-after-hours-271652132516,Post-IPO,1300.0,United States,5/10/2022,2022,5,Medium,Very High
Reef,Miami,750.0,2022-05-06,0.05,Transportation,https://www.restaurantbusinessonline.com/technology/reef-lay-5-workforce,Unknown,1500.0,United States,5/6/2022,2022,5,Medium,Very High
divvyDOSE,Davenport,62.0,2022-05-06,,Healthcare,https://qctimes.com/business/local/online-pharmacy-that-said-it-would-add-200-300-jobs-lays-off-62-davenport-workers/article_15603279-2b4e-5f43-b452-123c5fd3f7a9.html,Acquired,0.0,United States,5/14/2022,2022,5,Small,
Vedantu,"Bengaluru, Non-U.S.",200.0,2022-05-05,0.03,Education,https://economictimes.indiatimes.com/tech/startups/edtech-unicorn-vedantu-lays-off-200-employees/articleshow/91346831.cms,Series E,292.0,India,5/7/2022,2022,5,Medium,High
Progrexion,Salt Lake City,100.0,2022-05-05,,Finance,https://news.crunchbase.com/job-market/progrexion-lays-off-workers/,Acquired,202.0,United States,4/19/2023,2022,5,Small,High
Mural,SF Bay Area,90.0,2022-05-05,0.1,Product,LinkedIn,Series C,192.0,United States,5/6/2022,2022,5,Small,Medium
On Deck,SF Bay Area,72.0,2022-05-05,0.25,Education,https://techcrunch.com/2022/05/05/on-deck-lay-off-accelerator/,Series A,20.0,United States,5/5/2022,2022,5,Small,Low
SEND,"Sydney, Non-U.S.",300.0,2022-05-04,1.0,Food,https://www.smartcompany.com.au/finance/delivery-startup-send-collapses/,Seed,3.0,Australia,5/9/2022,2022,5,Medium,Low
Colossus,Boston,97.0,2022-05-04,,Energy,Company exec,Series A,41.0,United States,5/12/2022,2022,5,Small,Low
Cameo,Chicago,87.0,2022-05-04,0.25,Consumer,https://www.theinformation.com/articles/cameo-a-celebrity-shoutout-app-lays-off-25-of-workforce,Unknown,165.0,United States,5/4/2022,2022,5,Small,Medium
Mainstreet,SF Bay Area,45.0,2022-05-04,0.3,Finance,https://www.businessinsider.com/mainstreet-lays-off-third-of-employees-market-conditions-2022-5,Series A,64.0,United States,5/5/2022,2022,5,Small,Medium
Ideoclick,Seattle,40.0,2022-05-04,,Retail,https://www.bizjournals.com/seattle/news/2022/05/04/ideoclick-discloses-40-layoffs.html,Series A,7.0,United States,5/9/2022,2022,5,Small,Low
Vise,New York City,25.0,2022-05-04,,Finance,https://citywireusa.com/registered-investment-advisor/news/vise-lays-off-sales-staff-as-part-of-strategy-shift/a2386682,Series C,128.0,United States,5/4/2022,2022,5,Small,Medium
Avo,"Tel Aviv, Non-U.S.",500.0,2022-05-01,0.67,Food,https://en.globes.co.il/en/article-israeli-grocery-delivery-co-avo-lays-off-500-1001410720,Series B,45.0,Israel,5/2/2022,2022,5,Medium,Low
Noom,New York City,495.0,2022-04-29,,Healthcare,https://www.engadget.com/noom-reported-layoffs-101346556.html,Series F,657.0,United States,5/2/2022,2022,4,Medium,High
Domestika,SF Bay Area,150.0,2022-04-28,0.19,Education,https://www.epe.es/es/economia/20220428/domestika-tecnologica-despidos-ere-encubierto-13576187,Series D,130.0,United States,7/25/2022,2022,4,Medium,Medium
Netflix,SF Bay Area,25.0,2022-04-28,,Media,https://www.thewrap.com/netflix-layoffs-tudum-site-marketing-department/,Post-IPO,121900.0,United States,5/12/2022,2022,4,Small,Very High
Wahoo Fitness,Atlanta,50.0,2022-04-27,,Fitness,https://road.cc/content/news/wahoo-buys-rgt-cyclingand-lays-50-staff-292273,Unknown,0.0,United States,6/19/2022,2022,4,Small,
Robinhood,SF Bay Area,340.0,2022-04-26,0.09,Finance,https://www.cnbc.com/2022/04/26/robinhood-cutting-about-9percent-of-full-time-employees.html,Post-IPO,5600.0,United States,4/26/2022,2022,4,Medium,Very High
Bonsai,"Toronto, Non-U.S.",29.0,2022-04-26,0.34,Retail,https://betakit.com/bonsai-lays-off-a-third-of-employees-shortly-after-21-million-series-a-citing-shift-to-growth-strategy/,Series A,27.0,Canada,6/21/2022,2022,4,Small,Low
Sigfox,"Toulouse, Non-U.S.",64.0,2022-04-25,,Other,https://www.lightreading.com/iot/sigfox-takeover-saddles-unabiz-with-heavy-baggage/d/d-id/777022,Acquired,277.0,France,2/23/2023,2022,4,Small,High
Clyde,New York City,22.0,2022-04-25,,Marketing,https://docs.google.com/spreadsheets/d/1jWyr1oko2FKvofXRRIgCu3tTKlNdnqXj7Qyr1oy-OAE/edit,Series B,58.0,United States,5/11/2022,2022,4,Small,Medium
Xiaohongshu,"Shanghai, Non-U.S.",180.0,2022-04-21,0.09,Consumer,https://www.reuters.com/technology/chinas-xiaohongshu-kicks-off-staff-layoffs-source-2022-04-21/,Series E,917.0,China,4/23/2022,2022,4,Medium,High
Facily,"Sao Paulo, Non-U.S.",260.0,2022-04-20,0.3,Retail,https://startups.com.br/noticias/brazilian-e-commerce-firm-facily-slashes-workforce-by-30/,Series D,502.0,Brazil,4/27/2022,2022,4,Medium,High
Lemonade,New York City,52.0,2022-04-20,,Finance,https://coverager.com/layoffs-at-lemonade/,Post-IPO,481.0,United States,5/28/2022,2022,4,Small,High
Blend,SF Bay Area,200.0,2022-04-19,0.1,Finance,https://www.housingwire.com/articles/blend-lays-off-200-workers-as-mortgage-industry-sputters/,Post-IPO,665.0,United States,4/20/2022,2022,4,Medium,High
QuintoAndar,"Sao Paulo, Non-U.S.",160.0,2022-04-19,0.04,Real Estate,https://aimgroup.com/2022/04/19/quintoandar-lays-off-4-its-workforce/,Series E,755.0,Brazil,4/24/2022,2022,4,Medium,High
Loft,"Sao Paulo, Non-U.S.",159.0,2022-04-19,,Real Estate,https://thegoaspotlight.com/2022/04/19/loft-lays-off-159-employees-to-reorganize-credit-area/,Unknown,788.0,Brazil,4/24/2022,2022,4,Medium,High
Humble,SF Bay Area,10.0,2022-04-15,,Media,https://www.gamedeveloper.com/business/humble-lays-off-employees-in-ecommerce-restructuring,Acquired,4.0,United States,6/14/2022,2022,4,Small,Low
Ahead,SF Bay Area,44.0,2022-04-14,1.0,Healthcare,https://www.bloomberg.com/news/articles/2022-04-14/online-adhd-medication-startup-ahead-is-shutting-down?sref=yLCixKPR,Unknown,9.0,United States,4/15/2022,2022,4,Small,Low
Rad Power Bikes,Seattle,100.0,2022-04-12,0.14,Transportation,https://www.geekwire.com/2022/rad-power-bikes-lays-off-100-employees-about-14-of-staff-after-raising-304m-last-year/,Series D,329.0,United States,5/5/2022,2022,4,Small,High
Meesho,"Bengaluru, Non-U.S.",150.0,2022-04-11,,Retail,https://inc42.com/buzz/meesho-layoffs-150-employees-fired-by-softbank-backed-unicorn/,Series F,1100.0,India,4/15/2022,2022,4,Medium,Very High
Food52,New York City,20.0,2022-04-08,0.1,Food,https://www.businessinsider.com/food52-layoffs-employees-shocked-chernin-group-investment-2022-4,Acquired,176.0,United States,5/7/2022,2022,4,Small,Medium
Unacademy,"Bengaluru, Non-U.S.",1000.0,2022-04-07,0.17,Education,https://economictimes.indiatimes.com/tech/startups/unacademy-lays-off-around-1000-employees-as-edtech-major-begins-a-massive-cost-cutting-exercise/articleshow/90703708.cms,Series H,838.0,India,4/7/2022,2022,4,Medium,High
Goodfood,"Calgary, Non-U.S.",70.0,2022-04-07,,Food,https://thelogic.co/news/exclusive/meal-kit-pioneer-goodfood-goes-through-another-round-of-staff-cuts-amid-struggles-with-supply-chain-inflation/,Post-IPO,16.0,Canada,8/11/2022,2022,4,Small,Low
Workrise,Austin,450.0,2022-04-05,,Energy,https://techcrunch.com/2022/04/05/workrise-cuts-staff-verticals-after-being-valued-at-2-9b-last-year/,Series E,752.0,United States,3/25/2022,2022,4,Medium,High
BitMEX,Non-U.S.,75.0,2022-04-04,0.25,Crypto,https://www.theblockcrypto.com/post/140412/bitmex-lays-off-75-employees-after-bank-acquisition-collapses,Seed,0.0,Seychelles,4/5/2022,2022,4,Small,
